Latency (ms), Latency (clock ticks)
60.757000,60757.000000
59.805000,59805.000000
58.775000,58775.000000
61.630000,61630.000000
59.889000,59889.000000
59.841000,59841.000000
59.739000,59739.000000
59.200000,59200.000000
61.154000,61154.000000
59.727000,59727.000000
58.007000,58007.000000
57.025000,57025.000000
57.280000,57280.000000
57.473000,57473.000000
57.034000,57034.000000
57.623000,57623.000000
57.086000,57086.000000
58.076000,58076.000000
57.110000,57110.000000
57.019000,57019.000000
57.057000,57057.000000
56.938000,56938.000000
56.999000,56999.000000
57.026000,57026.000000
57.065000,57065.000000
57.085000,57085.000000
57.068000,57068.000000
57.014000,57014.000000
56.951000,56951.000000
57.132000,57132.000000
57.098000,57098.000000
56.953000,56953.000000
57.078000,57078.000000
57.398000,57398.000000
57.854000,57854.000000
57.669000,57669.000000
57.129000,57129.000000
57.155000,57155.000000
57.103000,57103.000000
57.436000,57436.000000
57.342000,57342.000000
57.178000,57178.000000
97.695000,97695.000000
57.468000,57468.000000
56.999000,56999.000000
57.049000,57049.000000
57.288000,57288.000000
57.087000,57087.000000
57.377000,57377.000000
57.095000,57095.000000
57.693000,57693.000000
57.049000,57049.000000
57.102000,57102.000000
57.047000,57047.000000
57.143000,57143.000000
57.088000,57088.000000
57.188000,57188.000000
57.287000,57287.000000
57.466000,57466.000000
56.961000,56961.000000
57.231000,57231.000000
56.980000,56980.000000
57.022000,57022.000000
56.924000,56924.000000
57.365000,57365.000000
57.332000,57332.000000
57.648000,57648.000000
56.987000,56987.000000
56.948000,56948.000000
57.012000,57012.000000
57.113000,57113.000000
57.134000,57134.000000
57.518000,57518.000000
56.980000,56980.000000
57.040000,57040.000000
57.002000,57002.000000
57.039000,57039.000000
57.019000,57019.000000
57.106000,57106.000000
57.382000,57382.000000
57.068000,57068.000000
57.016000,57016.000000
57.068000,57068.000000
57.259000,57259.000000
57.017000,57017.000000
57.123000,57123.000000
57.517000,57517.000000
57.118000,57118.000000
57.024000,57024.000000
56.986000,56986.000000
56.995000,56995.000000
57.139000,57139.000000
57.428000,57428.000000
57.042000,57042.000000
56.907000,56907.000000
56.967000,56967.000000
57.005000,57005.000000
57.118000,57118.000000
57.179000,57179.000000
57.510000,57510.000000
57.125000,57125.000000
56.977000,56977.000000
57.059000,57059.000000
57.166000,57166.000000
57.006000,57006.000000
57.168000,57168.000000
57.447000,57447.000000
57.006000,57006.000000
56.947000,56947.000000
56.949000,56949.000000
56.963000,56963.000000
56.947000,56947.000000
57.066000,57066.000000
57.372000,57372.000000
57.143000,57143.000000
56.997000,56997.000000
57.032000,57032.000000
56.946000,56946.000000
57.057000,57057.000000
57.433000,57433.000000
57.069000,57069.000000
56.985000,56985.000000
57.033000,57033.000000
57.009000,57009.000000
57.024000,57024.000000
57.382000,57382.000000
57.414000,57414.000000
57.156000,57156.000000
57.094000,57094.000000
57.006000,57006.000000
57.303000,57303.000000
57.063000,57063.000000
57.141000,57141.000000
57.560000,57560.000000
57.096000,57096.000000
56.920000,56920.000000
57.277000,57277.000000
56.965000,56965.000000
57.039000,57039.000000
57.213000,57213.000000
57.420000,57420.000000
57.133000,57133.000000
57.017000,57017.000000
57.035000,57035.000000
57.049000,57049.000000
57.083000,57083.000000
57.224000,57224.000000
57.113000,57113.000000
57.001000,57001.000000
56.976000,56976.000000
56.998000,56998.000000
57.032000,57032.000000
57.027000,57027.000000
57.324000,57324.000000
57.094000,57094.000000
56.912000,56912.000000
57.071000,57071.000000
57.007000,57007.000000
57.043000,57043.000000
