Latency (ms), Latency (clock ticks)
1.240000,1240.000000
1.210000,1210.000000
1.113000,1113.000000
1.110000,1110.000000
1.163000,1163.000000
1.123000,1123.000000
1.132000,1132.000000
1.176000,1176.000000
1.168000,1168.000000
1.132000,1132.000000
1.109000,1109.000000
1.122000,1122.000000
1.117000,1117.000000
1.149000,1149.000000
1.138000,1138.000000
1.138000,1138.000000
1.089000,1089.000000
1.081000,1081.000000
1.129000,1129.000000
1.089000,1089.000000
1.103000,1103.000000
1.079000,1079.000000
1.082000,1082.000000
1.103000,1103.000000
1.082000,1082.000000
1.081000,1081.000000
1.075000,1075.000000
1.108000,1108.000000
1.077000,1077.000000
1.073000,1073.000000
1.100000,1100.000000
1.072000,1072.000000
1.073000,1073.000000
1.080000,1080.000000
1.112000,1112.000000
1.114000,1114.000000
1.101000,1101.000000
1.087000,1087.000000
1.107000,1107.000000
1.091000,1091.000000
1.096000,1096.000000
1.059000,1059.000000
1.964000,1964.000000
1.076000,1076.000000
1.085000,1085.000000
1.111000,1111.000000
1.117000,1117.000000
1.097000,1097.000000
1.140000,1140.000000
1.074000,1074.000000
1.067000,1067.000000
1.099000,1099.000000
1.179000,1179.000000
1.178000,1178.000000
1.088000,1088.000000
1.116000,1116.000000
1.107000,1107.000000
1.100000,1100.000000
1.107000,1107.000000
1.071000,1071.000000
1.094000,1094.000000
1.095000,1095.000000
1.103000,1103.000000
1.111000,1111.000000
1.117000,1117.000000
1.121000,1121.000000
1.112000,1112.000000
1.062000,1062.000000
1.077000,1077.000000
1.072000,1072.000000
1.083000,1083.000000
1.089000,1089.000000
1.118000,1118.000000
1.090000,1090.000000
1.079000,1079.000000
1.082000,1082.000000
1.078000,1078.000000
1.119000,1119.000000
1.079000,1079.000000
1.082000,1082.000000
1.125000,1125.000000
1.073000,1073.000000
1.073000,1073.000000
1.074000,1074.000000
1.082000,1082.000000
1.075000,1075.000000
1.109000,1109.000000
1.105000,1105.000000
1.089000,1089.000000
1.079000,1079.000000
1.107000,1107.000000
1.108000,1108.000000
1.074000,1074.000000
1.090000,1090.000000
1.080000,1080.000000
1.080000,1080.000000
1.077000,1077.000000
1.081000,1081.000000
1.084000,1084.000000
1.076000,1076.000000
1.098000,1098.000000
1.090000,1090.000000
1.072000,1072.000000
1.080000,1080.000000
1.080000,1080.000000
1.094000,1094.000000
1.061000,1061.000000
1.122000,1122.000000
1.080000,1080.000000
1.085000,1085.000000
1.073000,1073.000000
1.078000,1078.000000
1.087000,1087.000000
1.081000,1081.000000
1.096000,1096.000000
1.081000,1081.000000
1.082000,1082.000000
1.103000,1103.000000
1.092000,1092.000000
1.103000,1103.000000
1.069000,1069.000000
1.058000,1058.000000
1.077000,1077.000000
1.086000,1086.000000
1.056000,1056.000000
1.053000,1053.000000
1.059000,1059.000000
1.066000,1066.000000
1.090000,1090.000000
1.059000,1059.000000
1.062000,1062.000000
1.067000,1067.000000
1.078000,1078.000000
1.056000,1056.000000
1.062000,1062.000000
1.076000,1076.000000
1.057000,1057.000000
1.061000,1061.000000
1.057000,1057.000000
1.078000,1078.000000
1.090000,1090.000000
1.090000,1090.000000
1.068000,1068.000000
1.054000,1054.000000
1.055000,1055.000000
1.057000,1057.000000
1.092000,1092.000000
1.060000,1060.000000
1.058000,1058.000000
1.074000,1074.000000
1.076000,1076.000000
1.079000,1079.000000
1.055000,1055.000000
1.059000,1059.000000
1.072000,1072.000000
1.059000,1059.000000
1.055000,1055.000000
1.062000,1062.000000
1.057000,1057.000000
1.059000,1059.000000
1.066000,1066.000000
1.090000,1090.000000
1.093000,1093.000000
1.183000,1183.000000
1.172000,1172.000000
1.176000,1176.000000
1.143000,1143.000000
1.149000,1149.000000
1.157000,1157.000000
1.142000,1142.000000
1.169000,1169.000000
1.272000,1272.000000
1.184000,1184.000000
1.162000,1162.000000
1.151000,1151.000000
1.192000,1192.000000
1.097000,1097.000000
1.073000,1073.000000
1.068000,1068.000000
1.088000,1088.000000
1.065000,1065.000000
1.098000,1098.000000
1.073000,1073.000000
1.160000,1160.000000
1.151000,1151.000000
1.189000,1189.000000
1.181000,1181.000000
1.145000,1145.000000
1.085000,1085.000000
1.106000,1106.000000
1.083000,1083.000000
1.080000,1080.000000
1.075000,1075.000000
1.125000,1125.000000
1.073000,1073.000000
1.122000,1122.000000
1.125000,1125.000000
1.105000,1105.000000
1.109000,1109.000000
1.084000,1084.000000
1.124000,1124.000000
1.075000,1075.000000
1.091000,1091.000000
1.074000,1074.000000
1.082000,1082.000000
1.066000,1066.000000
1.053000,1053.000000
1.052000,1052.000000
1.160000,1160.000000
1.126000,1126.000000
1.154000,1154.000000
1.127000,1127.000000
1.248000,1248.000000
1.173000,1173.000000
1.110000,1110.000000
1.126000,1126.000000
1.125000,1125.000000
1.100000,1100.000000
1.215000,1215.000000
1.194000,1194.000000
1.164000,1164.000000
1.119000,1119.000000
1.124000,1124.000000
1.081000,1081.000000
1.118000,1118.000000
1.081000,1081.000000
1.086000,1086.000000
1.108000,1108.000000
1.114000,1114.000000
1.091000,1091.000000
1.079000,1079.000000
1.084000,1084.000000
1.078000,1078.000000
1.116000,1116.000000
1.107000,1107.000000
1.080000,1080.000000
1.076000,1076.000000
1.149000,1149.000000
1.076000,1076.000000
1.077000,1077.000000
1.084000,1084.000000
1.079000,1079.000000
1.087000,1087.000000
1.081000,1081.000000
1.071000,1071.000000
1.080000,1080.000000
1.112000,1112.000000
1.119000,1119.000000
1.638000,1638.000000
1.083000,1083.000000
1.111000,1111.000000
