Latency (ms), Latency (clock ticks)
0.056000,56.000000
0.062000,62.000000
0.056000,56.000000
0.071000,71.000000
0.072000,72.000000
0.069000,69.000000
0.067000,67.000000
0.071000,71.000000
0.064000,64.000000
0.059000,59.000000
0.056000,56.000000
0.051000,51.000000
0.059000,59.000000
0.062000,62.000000
0.050000,50.000000
0.062000,62.000000
0.051000,51.000000
0.059000,59.000000
0.051000,51.000000
0.052000,52.000000
0.072000,72.000000
0.050000,50.000000
0.053000,53.000000
0.053000,53.000000
0.050000,50.000000
0.049000,49.000000
0.051000,51.000000
0.050000,50.000000
0.049000,49.000000
0.051000,51.000000
0.051000,51.000000
0.050000,50.000000
0.052000,52.000000
0.058000,58.000000
0.061000,61.000000
0.057000,57.000000
0.054000,54.000000
0.057000,57.000000
0.050000,50.000000
0.061000,61.000000
0.063000,63.000000
0.051000,51.000000
0.090000,90.000000
0.061000,61.000000
0.051000,51.000000
0.049000,49.000000
0.054000,54.000000
0.050000,50.000000
0.052000,52.000000
0.053000,53.000000
0.056000,56.000000
0.049000,49.000000
0.051000,51.000000
0.050000,50.000000
0.051000,51.000000
0.048000,48.000000
0.053000,53.000000
0.050000,50.000000
0.054000,54.000000
0.050000,50.000000
0.054000,54.000000
0.048000,48.000000
0.050000,50.000000
0.049000,49.000000
0.054000,54.000000
0.054000,54.000000
0.060000,60.000000
0.049000,49.000000
0.050000,50.000000
0.050000,50.000000
0.051000,51.000000
0.051000,51.000000
0.050000,50.000000
0.050000,50.000000
0.049000,49.000000
0.050000,50.000000
0.050000,50.000000
0.052000,52.000000
0.049000,49.000000
0.060000,60.000000
0.051000,51.000000
0.049000,49.000000
0.048000,48.000000
0.055000,55.000000
0.049000,49.000000
0.053000,53.000000
0.058000,58.000000
0.060000,60.000000
0.050000,50.000000
0.049000,49.000000
0.048000,48.000000
0.050000,50.000000
0.058000,58.000000
0.049000,49.000000
0.049000,49.000000
0.052000,52.000000
0.050000,50.000000
0.052000,52.000000
0.048000,48.000000
0.053000,53.000000
0.051000,51.000000
0.049000,49.000000
0.051000,51.000000
0.058000,58.000000
0.051000,51.000000
0.051000,51.000000
0.060000,60.000000
0.050000,50.000000
0.050000,50.000000
0.050000,50.000000
0.050000,50.000000
0.049000,49.000000
0.049000,49.000000
0.055000,55.000000
0.051000,51.000000
0.051000,51.000000
0.050000,50.000000
0.049000,49.000000
0.049000,49.000000
0.051000,51.000000
0.052000,52.000000
0.050000,50.000000
0.049000,49.000000
0.050000,50.000000
0.049000,49.000000
0.051000,51.000000
0.050000,50.000000
0.055000,55.000000
0.052000,52.000000
0.049000,49.000000
0.053000,53.000000
0.050000,50.000000
0.056000,56.000000
0.066000,66.000000
0.051000,51.000000
0.049000,49.000000
0.054000,54.000000
0.049000,49.000000
0.050000,50.000000
0.050000,50.000000
0.056000,56.000000
0.051000,51.000000
0.049000,49.000000
0.051000,51.000000
0.051000,51.000000
0.055000,55.000000
0.060000,60.000000
0.051000,51.000000
0.053000,53.000000
0.050000,50.000000
0.049000,49.000000
0.050000,50.000000
0.052000,52.000000
0.056000,56.000000
