Latency (ms), Latency (clock ticks)
7.897000,7897.000000
7.995000,7995.000000
7.902000,7902.000000
8.139000,8139.000000
8.286000,8286.000000
8.119000,8119.000000
8.303000,8303.000000
7.959000,7959.000000
7.967000,7967.000000
8.152000,8152.000000
7.836000,7836.000000
7.775000,7775.000000
7.864000,7864.000000
7.789000,7789.000000
7.825000,7825.000000
7.796000,7796.000000
7.839000,7839.000000
7.802000,7802.000000
7.812000,7812.000000
7.806000,7806.000000
7.757000,7757.000000
7.780000,7780.000000
7.831000,7831.000000
7.732000,7732.000000
7.849000,7849.000000
7.811000,7811.000000
7.826000,7826.000000
7.837000,7837.000000
7.785000,7785.000000
7.811000,7811.000000
7.855000,7855.000000
7.766000,7766.000000
7.807000,7807.000000
7.845000,7845.000000
7.945000,7945.000000
7.786000,7786.000000
7.845000,7845.000000
7.792000,7792.000000
7.850000,7850.000000
7.965000,7965.000000
7.893000,7893.000000
7.824000,7824.000000
9.576000,9576.000000
7.767000,7767.000000
7.825000,7825.000000
7.838000,7838.000000
7.786000,7786.000000
7.806000,7806.000000
7.968000,7968.000000
7.782000,7782.000000
7.895000,7895.000000
7.817000,7817.000000
7.822000,7822.000000
7.759000,7759.000000
7.832000,7832.000000
7.830000,7830.000000
7.769000,7769.000000
7.895000,7895.000000
7.833000,7833.000000
7.732000,7732.000000
7.848000,7848.000000
7.778000,7778.000000
7.805000,7805.000000
7.750000,7750.000000
7.884000,7884.000000
7.826000,7826.000000
7.854000,7854.000000
7.898000,7898.000000
7.797000,7797.000000
7.817000,7817.000000
7.809000,7809.000000
7.834000,7834.000000
8.065000,8065.000000
7.769000,7769.000000
7.839000,7839.000000
7.830000,7830.000000
7.801000,7801.000000
7.779000,7779.000000
7.833000,7833.000000
7.915000,7915.000000
7.768000,7768.000000
7.831000,7831.000000
7.822000,7822.000000
7.884000,7884.000000
7.808000,7808.000000
7.812000,7812.000000
7.799000,7799.000000
7.760000,7760.000000
7.838000,7838.000000
7.861000,7861.000000
7.821000,7821.000000
7.801000,7801.000000
7.897000,7897.000000
7.774000,7774.000000
7.751000,7751.000000
7.751000,7751.000000
7.805000,7805.000000
7.784000,7784.000000
7.882000,7882.000000
7.924000,7924.000000
7.780000,7780.000000
7.800000,7800.000000
7.789000,7789.000000
7.792000,7792.000000
7.742000,7742.000000
7.834000,7834.000000
7.800000,7800.000000
7.746000,7746.000000
7.799000,7799.000000
7.779000,7779.000000
7.803000,7803.000000
7.807000,7807.000000
7.747000,7747.000000
7.810000,7810.000000
7.823000,7823.000000
7.775000,7775.000000
7.816000,7816.000000
7.767000,7767.000000
7.767000,7767.000000
7.859000,7859.000000
7.762000,7762.000000
7.783000,7783.000000
7.809000,7809.000000
7.790000,7790.000000
7.845000,7845.000000
7.980000,7980.000000
7.904000,7904.000000
7.811000,7811.000000
7.849000,7849.000000
7.741000,7741.000000
7.807000,7807.000000
7.849000,7849.000000
7.851000,7851.000000
7.962000,7962.000000
7.820000,7820.000000
7.701000,7701.000000
7.870000,7870.000000
7.828000,7828.000000
7.839000,7839.000000
7.794000,7794.000000
7.787000,7787.000000
7.805000,7805.000000
7.790000,7790.000000
7.777000,7777.000000
7.806000,7806.000000
7.807000,7807.000000
7.742000,7742.000000
7.882000,7882.000000
7.804000,7804.000000
7.780000,7780.000000
7.805000,7805.000000
7.842000,7842.000000
7.802000,7802.000000
7.812000,7812.000000
7.827000,7827.000000
7.773000,7773.000000
7.809000,7809.000000
7.811000,7811.000000
7.832000,7832.000000
7.875000,7875.000000
7.929000,7929.000000
7.793000,7793.000000
7.752000,7752.000000
7.762000,7762.000000
7.747000,7747.000000
7.818000,7818.000000
7.833000,7833.000000
7.932000,7932.000000
7.798000,7798.000000
7.758000,7758.000000
8.148000,8148.000000
7.956000,7956.000000
7.975000,7975.000000
7.755000,7755.000000
7.761000,7761.000000
7.879000,7879.000000
7.824000,7824.000000
7.812000,7812.000000
7.803000,7803.000000
7.793000,7793.000000
7.775000,7775.000000
7.839000,7839.000000
7.787000,7787.000000
7.774000,7774.000000
7.861000,7861.000000
7.770000,7770.000000
7.820000,7820.000000
7.834000,7834.000000
7.896000,7896.000000
7.870000,7870.000000
7.896000,7896.000000
7.819000,7819.000000
7.820000,7820.000000
7.785000,7785.000000
7.858000,7858.000000
7.808000,7808.000000
7.805000,7805.000000
7.809000,7809.000000
7.790000,7790.000000
7.783000,7783.000000
7.787000,7787.000000
7.825000,7825.000000
7.862000,7862.000000
7.799000,7799.000000
7.839000,7839.000000
7.817000,7817.000000
7.805000,7805.000000
7.890000,7890.000000
8.100000,8100.000000
7.796000,7796.000000
7.768000,7768.000000
7.857000,7857.000000
7.994000,7994.000000
7.815000,7815.000000
7.811000,7811.000000
7.811000,7811.000000
7.819000,7819.000000
7.828000,7828.000000
7.868000,7868.000000
7.974000,7974.000000
7.860000,7860.000000
7.811000,7811.000000
7.736000,7736.000000
7.811000,7811.000000
7.814000,7814.000000
7.905000,7905.000000
7.753000,7753.000000
7.826000,7826.000000
7.848000,7848.000000
7.855000,7855.000000
7.819000,7819.000000
7.665000,7665.000000
7.844000,7844.000000
7.818000,7818.000000
7.869000,7869.000000
7.761000,7761.000000
7.728000,7728.000000
7.735000,7735.000000
7.857000,7857.000000
7.863000,7863.000000
7.772000,7772.000000
7.816000,7816.000000
8.042000,8042.000000
7.814000,7814.000000
7.816000,7816.000000
7.739000,7739.000000
7.797000,7797.000000
11.665000,11665.000000
7.772000,7772.000000
7.842000,7842.000000
7.821000,7821.000000
7.752000,7752.000000
7.786000,7786.000000
7.761000,7761.000000
7.822000,7822.000000
7.833000,7833.000000
7.888000,7888.000000
8.122000,8122.000000
7.848000,7848.000000
7.774000,7774.000000
7.767000,7767.000000
7.802000,7802.000000
7.836000,7836.000000
7.953000,7953.000000
7.867000,7867.000000
7.783000,7783.000000
7.782000,7782.000000
7.814000,7814.000000
7.851000,7851.000000
7.830000,7830.000000
7.939000,7939.000000
7.801000,7801.000000
7.811000,7811.000000
7.762000,7762.000000
7.827000,7827.000000
7.890000,7890.000000
7.833000,7833.000000
7.865000,7865.000000
7.803000,7803.000000
7.803000,7803.000000
7.850000,7850.000000
7.761000,7761.000000
7.854000,7854.000000
7.899000,7899.000000
7.760000,7760.000000
7.724000,7724.000000
7.789000,7789.000000
7.775000,7775.000000
7.863000,7863.000000
7.736000,7736.000000
7.771000,7771.000000
8.104000,8104.000000
7.774000,7774.000000
7.829000,7829.000000
7.771000,7771.000000
7.773000,7773.000000
7.814000,7814.000000
7.865000,7865.000000
7.762000,7762.000000
7.827000,7827.000000
7.817000,7817.000000
7.820000,7820.000000
7.873000,7873.000000
7.756000,7756.000000
7.829000,7829.000000
7.882000,7882.000000
7.795000,7795.000000
7.757000,7757.000000
7.798000,7798.000000
7.779000,7779.000000
7.776000,7776.000000
7.848000,7848.000000
7.894000,7894.000000
7.809000,7809.000000
7.770000,7770.000000
8.023000,8023.000000
13.986000,13986.000000
7.815000,7815.000000
7.799000,7799.000000
7.816000,7816.000000
7.855000,7855.000000
7.845000,7845.000000
7.875000,7875.000000
7.889000,7889.000000
7.835000,7835.000000
7.830000,7830.000000
7.841000,7841.000000
7.819000,7819.000000
7.743000,7743.000000
7.815000,7815.000000
7.972000,7972.000000
7.815000,7815.000000
7.721000,7721.000000
7.866000,7866.000000
7.828000,7828.000000
7.793000,7793.000000
8.062000,8062.000000
7.813000,7813.000000
7.801000,7801.000000
7.846000,7846.000000
7.762000,7762.000000
7.786000,7786.000000
7.793000,7793.000000
7.786000,7786.000000
7.841000,7841.000000
7.818000,7818.000000
7.794000,7794.000000
7.790000,7790.000000
7.797000,7797.000000
7.874000,7874.000000
7.897000,7897.000000
7.773000,7773.000000
7.780000,7780.000000
7.800000,7800.000000
7.821000,7821.000000
7.798000,7798.000000
7.822000,7822.000000
7.832000,7832.000000
7.769000,7769.000000
7.757000,7757.000000
7.839000,7839.000000
7.798000,7798.000000
7.791000,7791.000000
7.784000,7784.000000
7.851000,7851.000000
7.827000,7827.000000
7.754000,7754.000000
7.825000,7825.000000
7.791000,7791.000000
7.772000,7772.000000
7.772000,7772.000000
7.793000,7793.000000
7.826000,7826.000000
7.780000,7780.000000
7.784000,7784.000000
7.811000,7811.000000
7.776000,7776.000000
7.814000,7814.000000
7.858000,7858.000000
7.842000,7842.000000
7.808000,7808.000000
7.799000,7799.000000
7.812000,7812.000000
7.822000,7822.000000
7.836000,7836.000000
7.753000,7753.000000
7.863000,7863.000000
7.922000,7922.000000
7.862000,7862.000000
7.810000,7810.000000
7.796000,7796.000000
7.786000,7786.000000
7.758000,7758.000000
7.822000,7822.000000
7.813000,7813.000000
7.901000,7901.000000
7.723000,7723.000000
7.865000,7865.000000
7.899000,7899.000000
7.783000,7783.000000
7.797000,7797.000000
7.824000,7824.000000
7.849000,7849.000000
7.866000,7866.000000
7.806000,7806.000000
7.791000,7791.000000
7.760000,7760.000000
7.792000,7792.000000
7.735000,7735.000000
7.778000,7778.000000
7.759000,7759.000000
7.835000,7835.000000
7.901000,7901.000000
7.815000,7815.000000
7.824000,7824.000000
7.815000,7815.000000
7.809000,7809.000000
7.844000,7844.000000
7.914000,7914.000000
7.891000,7891.000000
7.815000,7815.000000
7.845000,7845.000000
7.813000,7813.000000
7.769000,7769.000000
7.826000,7826.000000
7.797000,7797.000000
8.147000,8147.000000
7.793000,7793.000000
7.768000,7768.000000
7.806000,7806.000000
7.849000,7849.000000
7.873000,7873.000000
7.819000,7819.000000
7.772000,7772.000000
7.808000,7808.000000
7.774000,7774.000000
7.768000,7768.000000
7.777000,7777.000000
7.886000,7886.000000
7.891000,7891.000000
7.973000,7973.000000
7.789000,7789.000000
7.905000,7905.000000
7.774000,7774.000000
7.823000,7823.000000
8.009000,8009.000000
12.855000,12855.000000
7.799000,7799.000000
7.933000,7933.000000
7.896000,7896.000000
7.808000,7808.000000
7.862000,7862.000000
7.809000,7809.000000
7.794000,7794.000000
7.828000,7828.000000
7.806000,7806.000000
7.804000,7804.000000
7.763000,7763.000000
7.789000,7789.000000
7.802000,7802.000000
7.781000,7781.000000
7.849000,7849.000000
7.801000,7801.000000
7.886000,7886.000000
7.725000,7725.000000
7.810000,7810.000000
7.952000,7952.000000
7.847000,7847.000000
7.807000,7807.000000
7.884000,7884.000000
7.849000,7849.000000
7.768000,7768.000000
7.945000,7945.000000
7.743000,7743.000000
7.821000,7821.000000
7.785000,7785.000000
7.801000,7801.000000
7.810000,7810.000000
7.792000,7792.000000
7.804000,7804.000000
7.778000,7778.000000
7.768000,7768.000000
7.811000,7811.000000
7.965000,7965.000000
7.814000,7814.000000
7.783000,7783.000000
7.736000,7736.000000
7.809000,7809.000000
7.880000,7880.000000
7.760000,7760.000000
7.874000,7874.000000
7.782000,7782.000000
7.780000,7780.000000
7.773000,7773.000000
7.791000,7791.000000
7.814000,7814.000000
7.912000,7912.000000
7.817000,7817.000000
7.802000,7802.000000
7.871000,7871.000000
7.812000,7812.000000
7.818000,7818.000000
7.824000,7824.000000
7.877000,7877.000000
7.831000,7831.000000
7.763000,7763.000000
7.772000,7772.000000
7.775000,7775.000000
7.799000,7799.000000
7.765000,7765.000000
7.749000,7749.000000
7.837000,7837.000000
7.778000,7778.000000
7.776000,7776.000000
7.920000,7920.000000
7.867000,7867.000000
7.872000,7872.000000
7.910000,7910.000000
7.893000,7893.000000
7.847000,7847.000000
7.824000,7824.000000
7.962000,7962.000000
7.850000,7850.000000
7.927000,7927.000000
7.820000,7820.000000
7.796000,7796.000000
7.982000,7982.000000
7.813000,7813.000000
7.792000,7792.000000
7.828000,7828.000000
7.837000,7837.000000
7.775000,7775.000000
7.796000,7796.000000
8.074000,8074.000000
7.936000,7936.000000
7.837000,7837.000000
7.809000,7809.000000
