Latency (ms), Latency (clock ticks)
0.047000,47.000000
0.036000,36.000000
0.032000,32.000000
0.041000,41.000000
0.042000,42.000000
0.039000,39.000000
0.043000,43.000000
0.046000,46.000000
0.042000,42.000000
0.039000,39.000000
0.032000,32.000000
0.029000,29.000000
0.036000,36.000000
0.033000,33.000000
0.028000,28.000000
0.032000,32.000000
0.032000,32.000000
0.033000,33.000000
0.028000,28.000000
0.029000,29.000000
0.030000,30.000000
0.029000,29.000000
0.029000,29.000000
0.031000,31.000000
0.032000,32.000000
0.029000,29.000000
0.030000,30.000000
0.028000,28.000000
0.028000,28.000000
0.039000,39.000000
0.030000,30.000000
0.030000,30.000000
0.033000,33.000000
0.034000,34.000000
0.040000,40.000000
0.034000,34.000000
0.031000,31.000000
0.035000,35.000000
0.031000,31.000000
0.045000,45.000000
0.039000,39.000000
0.031000,31.000000
0.036000,36.000000
0.040000,40.000000
0.033000,33.000000
0.029000,29.000000
0.036000,36.000000
0.030000,30.000000
0.035000,35.000000
0.038000,38.000000
0.038000,38.000000
0.032000,32.000000
0.032000,32.000000
0.032000,32.000000
0.032000,32.000000
0.033000,33.000000
0.040000,40.000000
0.032000,32.000000
0.037000,37.000000
0.031000,31.000000
0.035000,35.000000
0.031000,31.000000
0.031000,31.000000
0.031000,31.000000
0.040000,40.000000
0.036000,36.000000
0.040000,40.000000
0.034000,34.000000
0.032000,32.000000
0.032000,32.000000
0.033000,33.000000
0.032000,32.000000
0.047000,47.000000
0.032000,32.000000
0.030000,30.000000
0.032000,32.000000
0.034000,34.000000
0.033000,33.000000
0.046000,46.000000
0.047000,47.000000
0.036000,36.000000
0.032000,32.000000
0.034000,34.000000
0.041000,41.000000
0.034000,34.000000
0.036000,36.000000
0.040000,40.000000
0.038000,38.000000
0.032000,32.000000
0.032000,32.000000
0.034000,34.000000
0.039000,39.000000
0.048000,48.000000
0.036000,36.000000
0.033000,33.000000
0.036000,36.000000
0.034000,34.000000
0.038000,38.000000
0.037000,37.000000
0.047000,47.000000
0.037000,37.000000
0.033000,33.000000
0.035000,35.000000
0.042000,42.000000
0.038000,38.000000
0.042000,42.000000
0.042000,42.000000
0.035000,35.000000
0.034000,34.000000
0.034000,34.000000
0.035000,35.000000
0.032000,32.000000
0.036000,36.000000
0.029000,29.000000
0.037000,37.000000
0.037000,37.000000
0.036000,36.000000
0.037000,37.000000
0.031000,31.000000
0.049000,49.000000
0.036000,36.000000
0.033000,33.000000
0.033000,33.000000
0.033000,33.000000
