169822:   ./client --iterations 10000
   Address Perm   Offset Device   Inode  Size   Rss  Pss Referenced Anonymous LazyFree ShmemPmdMapped FilePmdMapped Shared_Hugetlb Private_Hugetlb Swap SwapPss Locked THPeligible Mapping
5560410000 r-xp 00000000  b3:07 1198306    28    28   28         28         0        0              0             0              0               0    0       0      0           0 client
5560426000 r--p 00006000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
5560427000 rw-p 00007000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
5596347000 rw-p 00000000  00:00       0   388   364  364        364       364        0              0             0              0               0    0       0      0           0 [heap]
7fabf10000 rw-p 00000000  00:00       0    16    16   16         16        16        0              0             0              0               0    0       0      0           0 
7fabf14000 r-xp 00000000  b3:07  919446    32    32   16         32         0        0              0             0              0               0    0       0      0           0 libffi.so.7.1.0
7fabf1c000 ---p 00008000  b3:07  919446    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libffi.so.7.1.0
7fabf2b000 r--p 00007000  b3:07  919446     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libffi.so.7.1.0
7fabf2c000 rw-p 00008000  b3:07  919446     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libffi.so.7.1.0
7fabf2d000 r-xp 00000000  b3:07  919695    16    16    2         16         0        0              0             0              0               0    0       0      0           0 libkeyutils.so.1.9
7fabf31000 ---p 00004000  b3:07  919695    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libkeyutils.so.1.9
7fabf40000 r--p 00003000  b3:07  919695     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libkeyutils.so.1.9
7fabf41000 rw-p 00004000  b3:07  919695     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libkeyutils.so.1.9
7fabf42000 r-xp 00000000  b3:07  919481   136   120    8        120         0        0              0             0              0               0    0       0      0           0 libgpg-error.so.0.29.0
7fabf64000 ---p 00022000  b3:07  919481    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libgpg-error.so.0.29.0
7fabf73000 r--p 00021000  b3:07  919481     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libgpg-error.so.0.29.0
7fabf74000 rw-p 00022000  b3:07  919481     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libgpg-error.so.0.29.0
7fabf75000 r-xp 00000000  b3:07  919513    72    60   30         60         0        0              0             0              0               0    0       0      0           0 libtasn1.so.6.6.0
7fabf87000 ---p 00012000  b3:07  919513    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libtasn1.so.6.6.0
7fabf97000 r--p 00012000  b3:07  919513     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libtasn1.so.6.6.0
7fabf98000 rw-p 00013000  b3:07  919513     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libtasn1.so.6.6.0
7fabf99000 rw-p 00000000  00:00       0     8     8    8          8         8        0              0             0              0               0    0       0      0           0 
7fabf9b000 r-xp 00000000  b3:07  919827  1196   332  188        332         0        0              0             0              0               0    0       0      0           0 libp11-kit.so.0.3.0
7fac0c6000 ---p 0012b000  b3:07  919827    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libp11-kit.so.0.3.0
