Latency (ms), Latency (clock ticks)
47.008000,47008.000000
48.442000,48442.000000
47.987000,47987.000000
50.054000,50054.000000
48.267000,48267.000000
48.475000,48475.000000
48.130000,48130.000000
47.669000,47669.000000
49.911000,49911.000000
48.401000,48401.000000
47.494000,47494.000000
46.919000,46919.000000
46.909000,46909.000000
47.184000,47184.000000
46.843000,46843.000000
47.311000,47311.000000
46.878000,46878.000000
47.735000,47735.000000
46.865000,46865.000000
46.927000,46927.000000
46.908000,46908.000000
46.878000,46878.000000
46.838000,46838.000000
46.902000,46902.000000
46.878000,46878.000000
46.889000,46889.000000
46.918000,46918.000000
46.890000,46890.000000
46.860000,46860.000000
46.902000,46902.000000
46.878000,46878.000000
46.859000,46859.000000
46.914000,46914.000000
47.149000,47149.000000
47.192000,47192.000000
47.313000,47313.000000
46.887000,46887.000000
46.912000,46912.000000
46.823000,46823.000000
46.911000,46911.000000
46.874000,46874.000000
46.839000,46839.000000
84.580000,84580.000000
47.215000,47215.000000
46.868000,46868.000000
46.823000,46823.000000
46.935000,46935.000000
46.892000,46892.000000
46.931000,46931.000000
46.878000,46878.000000
47.336000,47336.000000
46.848000,46848.000000
46.841000,46841.000000
46.876000,46876.000000
46.931000,46931.000000
46.830000,46830.000000
46.917000,46917.000000
46.856000,46856.000000
47.062000,47062.000000
46.881000,46881.000000
46.891000,46891.000000
46.834000,46834.000000
46.823000,46823.000000
46.791000,46791.000000
46.900000,46900.000000
46.926000,46926.000000
47.188000,47188.000000
46.806000,46806.000000
46.845000,46845.000000
46.845000,46845.000000
46.870000,46870.000000
46.856000,46856.000000
46.865000,46865.000000
46.854000,46854.000000
46.863000,46863.000000
46.840000,46840.000000
46.856000,46856.000000
46.823000,46823.000000
46.850000,46850.000000
46.905000,46905.000000
46.877000,46877.000000
46.858000,46858.000000
46.872000,46872.000000
46.915000,46915.000000
46.857000,46857.000000
46.877000,46877.000000
47.096000,47096.000000
46.852000,46852.000000
46.843000,46843.000000
46.850000,46850.000000
46.803000,46803.000000
46.879000,46879.000000
46.903000,46903.000000
46.917000,46917.000000
46.849000,46849.000000
46.871000,46871.000000
46.873000,46873.000000
46.934000,46934.000000
46.886000,46886.000000
46.979000,46979.000000
46.907000,46907.000000
46.848000,46848.000000
46.929000,46929.000000
46.893000,46893.000000
46.899000,46899.000000
46.870000,46870.000000
47.156000,47156.000000
46.857000,46857.000000
46.826000,46826.000000
46.858000,46858.000000
46.837000,46837.000000
46.860000,46860.000000
46.895000,46895.000000
47.057000,47057.000000
46.881000,46881.000000
46.877000,46877.000000
46.850000,46850.000000
46.824000,46824.000000
46.867000,46867.000000
46.897000,46897.000000
46.907000,46907.000000
46.869000,46869.000000
46.892000,46892.000000
46.857000,46857.000000
46.867000,46867.000000
46.900000,46900.000000
46.897000,46897.000000
46.923000,46923.000000
46.896000,46896.000000
46.895000,46895.000000
46.947000,46947.000000
46.876000,46876.000000
46.855000,46855.000000
46.954000,46954.000000
46.903000,46903.000000
46.862000,46862.000000
46.950000,46950.000000
46.864000,46864.000000
46.879000,46879.000000
46.951000,46951.000000
47.079000,47079.000000
46.904000,46904.000000
46.896000,46896.000000
46.891000,46891.000000
46.898000,46898.000000
46.879000,46879.000000
47.018000,47018.000000
46.893000,46893.000000
46.870000,46870.000000
46.895000,46895.000000
46.899000,46899.000000
46.888000,46888.000000
46.865000,46865.000000
46.945000,46945.000000
46.899000,46899.000000
46.857000,46857.000000
46.870000,46870.000000
46.849000,46849.000000
46.852000,46852.000000
46.861000,46861.000000
46.908000,46908.000000
46.873000,46873.000000
46.835000,46835.000000
46.886000,46886.000000
46.833000,46833.000000
46.823000,46823.000000
47.067000,47067.000000
46.879000,46879.000000
46.895000,46895.000000
46.934000,46934.000000
48.442000,48442.000000
47.964000,47964.000000
46.850000,46850.000000
46.914000,46914.000000
46.829000,46829.000000
47.366000,47366.000000
46.991000,46991.000000
46.845000,46845.000000
46.814000,46814.000000
46.826000,46826.000000
46.829000,46829.000000
46.870000,46870.000000
46.883000,46883.000000
46.919000,46919.000000
47.065000,47065.000000
46.866000,46866.000000
46.840000,46840.000000
47.334000,47334.000000
46.858000,46858.000000
46.882000,46882.000000
47.209000,47209.000000
46.808000,46808.000000
47.011000,47011.000000
46.812000,46812.000000
46.837000,46837.000000
46.861000,46861.000000
46.859000,46859.000000
47.113000,47113.000000
47.037000,47037.000000
46.955000,46955.000000
46.884000,46884.000000
47.020000,47020.000000
46.935000,46935.000000
46.927000,46927.000000
47.248000,47248.000000
47.148000,47148.000000
46.968000,46968.000000
46.923000,46923.000000
47.416000,47416.000000
46.940000,46940.000000
46.892000,46892.000000
46.921000,46921.000000
47.742000,47742.000000
